Gene,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10
Gene_1,12,45,67,23,89,34,56,78,12,45
Gene_2,34,56,23,78,12,67,45,89,34,23
Gene_3,78,12,45,34,56,23,89,12,67,45
Gene_4,23,78,12,56,34,89,45,67,12,34
Gene_5,56,34,89,12,23,45,78,34,67,12
Gene_6,67,23,45,78,12,56,34,89,23,45
Gene_7,12,56,34,23,78,45,67,12,89,34
Gene_8,45,12,78,34,56,23,89,45,12,67
Gene_9,34,78,12,45,23,56,67,12,89,34
Gene_10,23,45,67,12,34,78,56,23,89,12
Gene_11,56,34,23,89,12,45,78,34,67,23
Gene_12,78,12,45,23,56,34,89,12,67,45
Gene_13,12,34,56,78,23,45,67,12,89,34
Gene_14,45,23,78,12,34,56,89,45,12,67
Gene_15,34,56,12,45,78,23,67,34,89,12
Gene_16,23,45,67,12,34,78,56,23,89,45
Gene_17,56,12,34,78,23,45,67,12,89,34
Gene_18,78,23,45,12,56,34,89,23,67,12
Gene_19,12,34,78,23,45,56,67,12,89,34
Gene_20,45,56,12,34,78,23,89,45,12,67
Gene_21,34,12,45,56,23,78,67,34,89,12
Gene_22,23,78,12,45,56,34,89,23,67,12
Gene_23,56,34,23,78,12,45,67,34,89,23
Gene_24,78,12,34,56,23,45,89,12,67,45
Gene_25,12,34,56,23,78,45,67,12,89,34
Gene_26,45,23,78,12,34,56,89,45,12,67
Gene_27,34,56,12,45,78,23,67,34,89,12
Gene_28,23,45,67,12,34,78,56,23,89,45
Gene_29,56,12,34,78,23,45,67,12,89,34
Gene_30,78,23,45,12,56,34,89,23,67,12
